1	9	5	6	5700	3	73	41	48.02	2083	23	52.52	120
1	21	3	4	5760	3	19	54	53.6	5000	-58	51.98	250
2	9	1	3	5490	11	72	37	38.48	5000	32	38.12	350
2	26	4	15	5740	3	54	54	56.48	1318	2	64.58	150
3	2	2	3	5470	7	46	30	29.66	5000	44	29.3	300
3	5	5	4	5530	3	43	40	36.14	5000	-12	33.62	140
3	22	1	9	5730	4	32	67	59.54	442	-9	75.74	200
3	31	3	12	5710	3	46	62	52.52	472	34	62.96	300
4	2	5	9	5680	5	69	61	51.44	944	35	55.76	100
4	5	1	4	5540	5	54	35	33.26	5000	62	33.44	200
4	13	2	4	5440	5	44	35	33.08	5000	24	32.54	80
5	6	4	2	5680	6	77	41	42.98	5000	75	40.82	120
6	10	4	2	5570	9	81	48	41.72	5000	57	40.82	140
6	16	3	14	5860	3	64	78	68.72	1279	75	71.6	17
6	22	2	20	5770	5	64	65	65.12	770	26	75.56	120
7	6	2	34	5900	6	86	87	81.68	990	22	85.1	40
8	26	4	26	5870	7	73	73	75.2	807	39	78.8	100
9	8	3	17	5850	4	67	81	70.88	721	0	80.24	120
9	17	5	9	5790	3	71	61	50.54	4028	35	55.04	140
10	8	5	12	5890	5	19	71	70.52	5000	-40	67.64	80
10	12	2	7	5830	8	77	71	67.1	337	-17	81.14	20
10	28	4	7	5800	6	19	60	57.02	5000	-19	54.32	200
11	3	3	6	5920	3	22	71	69.08	328	-40	80.6	150
12	16	4	3	5780	0	19	51	54.32	5000	-50	50.9	120
12	29	3	5	5650	3	61	50	46.58	3704	18	46.94	40
